word,has_video
baby,yes
babysitter,no
boy,yes
brother,yes
child,yes
children,no
dad,yes
daddy,no
doctor,no
fireman,yes
friend,no
girl,yes
grandma,yes
grandpa,yes
lady,no
mailman,no
man,yes
mom,yes
mommy,no
nurse,no
people,no
person,yes
police,yes
sister,no
teacher,no
uncle,yes
we,no
us,no
yourself,yes
alligator,yes
ant,no
animal,yes
bear,no
bee,yes
bird,yes
bug,yes
bunny,no
butterfly,no
cat,yes
chicken,no
cow,yes
cowboy,yes
deer,no
dinosaur,no
dog,yes
donkey,yes
duck,yes
elephant,yes
fish,yes
frog,yes
giraffe,yes
goose,yes
hen,yes
horse,yes
kitty,yes
lion,yes
moose,no
monkey,no
mouse,yes
owl,yes
pig,yes
pony,no
puppy,yes
rabbit,no
rooster,no
sheep,no
squirrel,no
tiger,yes
turtle,yes
turkey,no
wolf,yes
zebra,yes
arm,yes
bellybutton,no
cheek,yes
chin,yes
ear,yes
eye,yes
face,yes
feet,yes
finger,yes
hand,no
head,yes
kiss,yes
leg,no
lips,yes
mouth,yes
neck,no
nose,yes
shoulder,no
tongue,yes
tooth,yes
bite,no
clap,no
hug,no
kick,no
lick,no
listen,yes
look,yes
see,yes
shake,yes
sing,no
sit,no
smile,yes
sneeze,no
stand,no
touch,yes
tickle,no
apple,yes
candy,no
carrot,yes
cereal,yes
cheese,no
chocolate,yes
dinner,no
eat,no
feed,no
food,yes
frenchfries,no
grapes,no
icecream,no
jelly,no
juice,no
lunch,no
melon,no
milk,yes
nuts,yes
peas,no
pizza,yes
popsicle,no
potato,no
potatochip,no
pumpkin,no
snack,yes
soda,no
sodapop,no
toast,no
water,yes
yogurt,no
belt,no
bib,no
boots,no
diaper,no
dress,no
gloves,no
hat,yes
jacket,yes
jeans,yes
mitten,yes
necklace,no
pajama,yes
pants,no
scarf,no
shirt,yes
shoe,yes
shorts,no
skirt,no
slipper,no
snowsuit,no
sock,no
sweater,no
tights,no
underwear,yes
zipper,yes
backyard,yes
basement,no
bathroom,no
bathtub,no
bed,yes
bedroom,yes
chair,yes
closet,yes
couch,no
sofa,no
crib,no
dresser,no
drawer,yes
highchair,no
kitchen,no
lamp,yes
livingroom,no
pillow,no
refrigerator,yes
rockingchair,no
roof,no
room,yes
shower,yes
sink,no
stove,no
table,yes
toilet,no
tub,no
vacuum,yes
washingmachine,no
window,no
ball,yes
balloon,yes
beads,no
block,no
book,yes
bubbles,no
bucket,no
camera,no
chalk,no
crayon,no
doll,yes
game,no
glue,no
paint,no
pen,yes
pencil,yes
petsname,no
play,no
playdough,no
playground,no
playpen,no
puzzle,yes
radio,yes
story,yes
swing,no
teddy,no
teddybear,no
toy,yes
cloud,yes
farm,yes
flower,yes
garden,no
grass,yes
moon,yes
rain,yes
sky,no
snow,yes
snowman,no
star,no
stone,no
sun,yes
tree,yes
wind,no
yard,yes
airplane,yes
bicycle,no
boat,yes
bus,no
car,yes
cartcarriage,no
helicopter,yes
motorcycle,no
stroller,no
tractor,no
train,no
truck,no
bring,no
build,no
carry,no
catch,no
chase,no
climb,no
close,yes
cook,no
cry,yes
cut,yes
dance,yes
draw,no
drink,yes
drive,no
drop,yes
eat,no
find,yes
fix,no
give,yes
go,yes
hide,yes
hold,no
hop,no
jump,yes
knock,no
make,yes
open,yes
play,no
pour,no
pull,no
push,no
put,no
read,yes
ride,yes
run,no
say,yes
see,yes
shake,yes
share,no
show,no
sleep,yes
splash,no
sweep,no
swim,no
talk,yes
taste,yes
throw,no
wash,no
watch,yes
wipe,no
work,no
write,no
backyard,yes
basement,no
bathroom,no
bedroom,yes
downtown,no
garage,no
garden,no
home,yes
hospital,no
playground,no
porch,no
sandbox,no
school,no
store,yes
street,no
yard,yes
afraid,no
scared,no
asleep,no
awake,yes
bad,yes
better,yes
careful,no
cold,no
dirty,yes
full,no
happy,yes
hard,no
hate,yes
hungry,yes
mad,yes
naughty,no
nice,no
sad,yes
sick,yes
sleepy,yes
sorry,no
tired,no
wet,yes
yucky,yes
yummy,no
big,no
black,yes
blue,yes
brown,yes
green,yes
little,no
long,no
red,yes
short,no
small,no
tiny,no
white,yes
yellow,yes
after,yes
before,yes
day,no
first,yes
last,no
later,yes
morning,yes
night,yes
now,yes
today,no
tomorrow,yes
tonight,no
yesterday,yes
time,yes
I,no
am,no
are,no
is,no
was,no
were,no
you,no
we,no
us,no
me,no
my,no
hesheit,no
this,no
that,yes
who,yes
what,no
when,no
where,yes
why,yes
which,no
and,no
but,no
because,yes
if,yes
not,yes
no,yes
yes,yes
all,yes
any,yes
every,yes
many,yes
more,no
much,no
none,no
some,no
